Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
SCL,Supply Utilization Accounts (2010-),004,Afghanistan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,28937,A,Official figure,
SCL,Supply Utilization Accounts (2010-),004,Afghanistan,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2017,2017,t,63514.11,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),004,Afghanistan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,23913,A,Official figure,
SCL,Supply Utilization Accounts (2010-),004,Afghanistan,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2018,2018,t,52832.16,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),004,Afghanistan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,42875.43,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),004,Afghanistan,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,67725.12,I,Imputed value,
SCL,Supply Utilization Accounts (2010-),004,Afghanistan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,35617.07,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),004,Afghanistan,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2020,2020,t,63370.79,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),004,Afghanistan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,32613.38,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),004,Afghanistan,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2021,2021,t,60165.64,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),008,Albania,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,17280,A,Official figure,
SCL,Supply Utilization Accounts (2010-),008,Albania,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2017,2017,t,30192,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),008,Albania,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,11587.51,A,Official figure,
SCL,Supply Utilization Accounts (2010-),008,Albania,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2018,2018,t,27174.78,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),008,Albania,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,19304,A,Official figure,
SCL,Supply Utilization Accounts (2010-),008,Albania,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,30937.32,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),008,Albania,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,23503.19,A,Official figure,
SCL,Supply Utilization Accounts (2010-),008,Albania,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2020,2020,t,35737.1,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),008,Albania,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,21929.5,A,Official figure,
SCL,Supply Utilization Accounts (2010-),008,Albania,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2021,2021,t,35179.5,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),012,Algeria,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,0.4,A,Official figure,
SCL,Supply Utilization Accounts (2010-),012,Algeria,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2017,2017,t,262965.46,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),012,Algeria,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,26.74,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),012,Algeria,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2018,2018,t,263184.3,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),012,Algeria,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,0.09,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),012,Algeria,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,259141.41,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),012,Algeria,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,0.49,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),012,Algeria,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2020,2020,t,257018.24,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),012,Algeria,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,0.4,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),012,Algeria,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2021,2021,t,271904.25,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),024,Angola,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,265888.3,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),024,Angola,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2017,2017,t,306286.65,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),024,Angola,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,322677.63,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),024,Angola,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2018,2018,t,364044.38,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),024,Angola,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,253768.53,A,Official figure,
SCL,Supply Utilization Accounts (2010-),024,Angola,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,302318.03,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),024,Angola,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,214513.15,A,Official figure,
SCL,Supply Utilization Accounts (2010-),024,Angola,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2020,2020,t,266805.06,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),024,Angola,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,240448.8,A,Official figure,
SCL,Supply Utilization Accounts (2010-),024,Angola,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2021,2021,t,295831.67,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),028,Antigua and Barbuda,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,6143.69,A,Official figure,
SCL,Supply Utilization Accounts (2010-),028,Antigua and Barbuda,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2017,2017,t,5840.95,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),028,Antigua and Barbuda,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,5943.95,A,Official figure,
SCL,Supply Utilization Accounts (2010-),028,Antigua and Barbuda,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2018,2018,t,5642.59,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),028,Antigua and Barbuda,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,6010.01,A,Official figure,
SCL,Supply Utilization Accounts (2010-),028,Antigua and Barbuda,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,5599.23,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),028,Antigua and Barbuda,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,5950.08,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),028,Antigua and Barbuda,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2020,2020,t,5900.67,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),028,Antigua and Barbuda,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,5724.56,A,Official figure,
SCL,Supply Utilization Accounts (2010-),028,Antigua and Barbuda,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2021,2021,t,5757.41,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),032,Argentina,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,2097.23,A,Official figure,
SCL,Supply Utilization Accounts (2010-),032,Argentina,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2017,2017,t,1909665.06,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),032,Argentina,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,6623.56,A,Official figure,
SCL,Supply Utilization Accounts (2010-),032,Argentina,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2018,2018,t,1909256.53,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),032,Argentina,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,5088.79,A,Official figure,
SCL,Supply Utilization Accounts (2010-),032,Argentina,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,1973680.94,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),032,Argentina,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,5418.11,A,Official figure,
SCL,Supply Utilization Accounts (2010-),032,Argentina,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2020,2020,t,2040713.88,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),032,Argentina,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,6856.16,A,Official figure,
SCL,Supply Utilization Accounts (2010-),032,Argentina,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2021,2021,t,2139767.36,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),051,Armenia,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,34419.23,A,Official figure,
SCL,Supply Utilization Accounts (2010-),051,Armenia,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2017,2017,t,45019.23,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),051,Armenia,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,32212.25,A,Official figure,
SCL,Supply Utilization Accounts (2010-),051,Armenia,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2018,2018,t,44254.78,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),051,Armenia,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,42384.6,A,Official figure,
SCL,Supply Utilization Accounts (2010-),051,Armenia,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,54784.6,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),051,Armenia,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,32183.53,A,Official figure,
SCL,Supply Utilization Accounts (2010-),051,Armenia,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2020,2020,t,44481.93,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),051,Armenia,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,37733.64,A,Official figure,
SCL,Supply Utilization Accounts (2010-),051,Armenia,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2021,2021,t,52104.8,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),036,Australia,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,3043,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),036,Australia,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2017,2017,t,1177493.34,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),036,Australia,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,5137,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),036,Australia,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2018,2018,t,1147079.13,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),036,Australia,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,1861.6,A,Official figure,
SCL,Supply Utilization Accounts (2010-),036,Australia,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,1187793.14,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),036,Australia,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,452.42,A,Official figure,
SCL,Supply Utilization Accounts (2010-),036,Australia,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2020,2020,t,1195735.78,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),036,Australia,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,263.1,I,Imputed value,
SCL,Supply Utilization Accounts (2010-),036,Australia,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2021,2021,t,1202674.05,I,Imputed value,
SCL,Supply Utilization Accounts (2010-),040,Austria,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,45021.85,A,Official figure,
SCL,Supply Utilization Accounts (2010-),040,Austria,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2017,2017,t,114464.56,I,Imputed value,
SCL,Supply Utilization Accounts (2010-),040,Austria,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,47127.08,A,Official figure,
SCL,Supply Utilization Accounts (2010-),040,Austria,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2018,2018,t,116243.88,I,Imputed value,
SCL,Supply Utilization Accounts (2010-),040,Austria,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,49650.22,A,Official figure,
SCL,Supply Utilization Accounts (2010-),040,Austria,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,98478.81,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),040,Austria,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,42215.28,A,Official figure,
SCL,Supply Utilization Accounts (2010-),040,Austria,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2020,2020,t,100414.69,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),040,Austria,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,48124.41,A,Official figure,
SCL,Supply Utilization Accounts (2010-),040,Austria,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2021,2021,t,104046.09,I,Imputed value,
SCL,Supply Utilization Accounts (2010-),031,Azerbaijan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,23717.45,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),031,Azerbaijan,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2017,2017,t,128010.45,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),031,Azerbaijan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,28238.8,A,Official figure,
SCL,Supply Utilization Accounts (2010-),031,Azerbaijan,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2018,2018,t,136845.34,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),031,Azerbaijan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,31159.68,A,Official figure,
SCL,Supply Utilization Accounts (2010-),031,Azerbaijan,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,142359.81,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),031,Azerbaijan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,24367.09,A,Official figure,
SCL,Supply Utilization Accounts (2010-),031,Azerbaijan,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2020,2020,t,139724.13,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),031,Azerbaijan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,27808.18,A,Official figure,
SCL,Supply Utilization Accounts (2010-),031,Azerbaijan,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2021,2021,t,151517.88,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),044,Bahamas,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,20762.29,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),044,Bahamas,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2017,2017,t,14122.45,I,Imputed value,
SCL,Supply Utilization Accounts (2010-),044,Bahamas,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,19536.34,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),044,Bahamas,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2018,2018,t,16000,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),044,Bahamas,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,20534.71,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),044,Bahamas,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,17205.31,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),044,Bahamas,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,28043,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),044,Bahamas,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2020,2020,t,25273.88,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),044,Bahamas,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,21486.48,X,Figure from international organizations,Estimated data using trading partners database
SCL,Supply Utilization Accounts (2010-),044,Bahamas,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2021,2021,t,26222.33,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),048,Bahrain,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,57049.79,A,Official figure,
SCL,Supply Utilization Accounts (2010-),048,Bahrain,5141,Food supply quantity (tonnes),21121,"Meat of chickens, fresh or chilled",2019,2019,t,64095.85,E,Estimated value,
SCL,Supply Utilization Accounts (2010-),048,Bahrain,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,62970.01,A,Official figure,
