Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
TCL,Crops and livestock products,004,Afghanistan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,28937,A,Official figure,
TCL,Crops and livestock products,004,Afghanistan,5622,Import value,21121,"Meat of chickens, fresh or chilled",2017,2017,1000 USD,28934,A,Official figure,
TCL,Crops and livestock products,004,Afghanistan,5910,Export quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,36.99,A,Official figure,
TCL,Crops and livestock products,004,Afghanistan,5922,Export value,21121,"Meat of chickens, fresh or chilled",2017,2017,1000 USD,31,A,Official figure,
TCL,Crops and livestock products,004,Afghanistan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,23913,A,Official figure,
TCL,Crops and livestock products,004,Afghanistan,5622,Import value,21121,"Meat of chickens, fresh or chilled",2018,2018,1000 USD,20665,A,Official figure,
TCL,Crops and livestock products,004,Afghanistan,5910,Export quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,154,A,Official figure,
TCL,Crops and livestock products,004,Afghanistan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,14671.92,A,Official figure,
TCL,Crops and livestock products,004,Afghanistan,5622,Import value,21121,"Meat of chickens, fresh or chilled",2019,2019,1000 USD,13693,A,Official figure,
TCL,Crops and livestock products,004,Afghanistan,5910,Export quantity,21121,"Meat of chickens, fresh or chilled",2019,2019,t,321.65,A,Official figure,
TCL,Crops and livestock products,004,Afghanistan,5922,Export value,21121,"Meat of chickens, fresh or chilled",2019,2019,1000 USD,317,A,Official figure,
TCL,Crops and livestock products,004,Afghanistan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,51379.64,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,004,Afghanistan,5622,Import value,21121,"Meat of chickens, fresh or chilled",2020,2020,1000 USD,70661,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,004,Afghanistan,5910,Export quantity,21121,"Meat of chickens, fresh or chilled",2020,2020,t,0.34,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,004,Afghanistan,5922,Export value,21121,"Meat of chickens, fresh or chilled",2020,2020,1000 USD,1,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,004,Afghanistan,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,33025.85,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,004,Afghanistan,5622,Import value,21121,"Meat of chickens, fresh or chilled",2021,2021,1000 USD,46347,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,004,Afghanistan,5910,Export quantity,21121,"Meat of chickens, fresh or chilled",2021,2021,t,13.81,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,004,Afghanistan,5922,Export value,21121,"Meat of chickens, fresh or chilled",2021,2021,1000 USD,31,X,Figure from international organizations,Estimated data using trading partners database
TCL,Crops and livestock products,008,Albania,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2017,2017,t,17515.47,A,Official figure,
TCL,Crops and livestock products,008,Albania,5622,Import value,21121,"Meat of chickens, fresh or chilled",2017,2017,1000 USD,16481,A,Official figure,
TCL,Crops and livestock products,008,Albania,5610,Import quantity,21121,"Meat of chickens, fresh or chilled",2018,2018,t,11587.51,A,Official figure,
TCL,Crops and livestock products,008,Albania,5622,Import value,21121,"Meat of chickens, fresh or chilled",2018,2018,1000 USD,10991,A,Official figure,
