country,country_code,consumer_price_index,gdp_dollar,ease_business_2019,logistics_performance_2018,political_stability,population
Aruba,ABW,,2929446578,,,1.431726694,107700
Africa Eastern and Southern,AFE,,1.08575E+12,,2.492222222,,713090928
Afghanistan,AFG,,14259995441,173,1.95,-2.518676043,40000412
Africa Western and Central,AFW,,8.49312E+11,,2.413333333,,485920997
Angola,AGO,583.6757794,66505129988,177,2.05,-0.71048075,34532429
Albania,ALB,123.448662,18032010564,82,2.66,0.196371928,2811666
Andorra,AND,,3324647529,,,1.58125937,78364
Arab World,ARB,,2.96924E+12,,2.678095238,,460646603
United Arab Emirates,ARE,112.3450164,4.15179E+11,16,3.96,0.597572148,9575152
Argentina,ARG,,4.86564E+11,126,2.89,0.000530059,45312281
Armenia,ARM,140.1344107,13878908629,47,2.61,-0.804041028,2962300
American Samoa,ASM,,750000000,,,1.066840887,49225
Antigua and Barbuda,ATG,118.5555947,1601366667,113,,0.949669898,92349
Australia,AUS,124.2715921,1.55674E+12,14,3.75,0.835079134,25685412
Austria,AUT,123.0008436,4.80467E+11,27,4.03,0.899554431,8955797
Azerbaijan,AZE,171.9431828,54825411765,28,,-0.83782357,10137750
Burundi,BDI,211.8712266,2775798697,166,2.06,-1.258399367,12965481
Belgium,BEL,120.8569583,5.98494E+11,46,4.04,0.662682593,11586195
Benin,BEN,116.0441915,17690083520,149,2.75,-0.396318674,13413417
Burkina Faso,BFA,114.4345199,19697516284,151,2.62,-1.642943263,21995243
Bangladesh,BGD,200.4370392,4.16272E+11,168,2.58,-1.036882758,167658854
Bulgaria,BGR,120.1683043,84417951261,61,3.03,0.364739358,6877743
Bahrain,BHR,115.3158755,40840212766,43,2.93,-0.5247612,1504365
"Bahamas, The",BHS,119.6410383,11368900000,119,2.53,0.85096854,396373
Bosnia and Herzegovina,BIH,105.8501783,23672712242,90,2.81,-0.421740085,3244907
Belarus,BLR,587.3011498,69673747132,49,2.57,-0.754245579,9302585
Belize,BLZ,109.7281231,2420550000,135,,0.272466063,395346
Bermuda,BMU,,7286607000,,,1.00254035,64648
Bolivia,BOL,150.8167617,40406111695,150,2.36,-0.278774261,11937360
Brazil,BRA,187.1174251,1.67065E+12,124,2.99,-0.419879764,209550294
Barbados,BRB,,5275242050,128,,1.118570447,282147
Brunei Darussalam,BRN,102.6981047,14006496614,66,2.71,1.171809912,451721
Bhutan,BTN,192.7040733,2768802960,89,2.17,0.797255099,775442
Botswana,BWA,163.633197,18750946600,87,,1.041407108,2401441
Central African Republic,CAF,160.9564905,2516498412,184,2.15,-2.126852989,5112100
Canada,CAN,121.5870063,2.00747E+12,23,3.73,0.962336957,38239864
Central Europe and the Baltics,CEB,,1.9268E+12,,3.215454545,,100647592
Switzerland,CHE,99.39928425,8.13409E+11,36,3.9,1.115375638,8704546
Channel Islands,CHI,,11157002973,,,,166741
Chile,CHL,142.0812728,3.15515E+11,59,3.32,0.161427185,19456334
China,CHN,129.3662166,1.78205E+13,32,3.61,-0.516462862,1412360000
Cote d'Ivoire,CIV,118.991106,72794636654,110,3.08,-0.71501565,29639736
Cameroon,CMR,124.3020101,45011937347,167,2.6,-1.394088745,26915758
"Congo, Dem. Rep.",COD,,55328482784,183,2.43,-1.660624623,99148932
"Congo, Rep.",COG,129.1585754,14825690211,180,2.49,-0.229436472,5892183
Colombia,COL,149.5597632,3.18525E+11,67,2.94,-0.954574347,51188173
Comoros,COM,,1296089480,160,2.56,-0.227990642,818174
Cabo Verde,CPV,113.2411951,2051842610,137,,0.89436847,516649
Costa Rica,CRI,132.0203794,64960725734,74,2.79,0.860422552,5059988
Caribbean small states,CSS,,37091445808,,2.445,,3111609
Cuba,CUB,,,,2.2,0.39279601,11122168
Curacao,CUW,,2739608156,,,,152369
Cayman Islands,CYM,,6060026520,,,1.624775887,70108
Cyprus,CYP,104.3480396,30372874320,54,3.15,0.422150671,1317309
